"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3390","Validate user should be successfully able to place the order","chromium","Sat Aug 16 23:20:22 CEST 2025","passed","Sat Aug 16 23:20:25 CEST 2025","","NetworkTest.spec.js","",""
"","12026","Validate user should be successfully able to place the order","firefox","Sat Aug 16 23:20:56 CEST 2025","passed","Sat Aug 16 23:21:08 CEST 2025","","ClientApp.spec.js","",""
"","1227","Abort the Network calls","firefox","Sat Aug 16 23:21:42 CEST 2025","passed","Sat Aug 16 23:21:43 CEST 2025","","NetworkNegativeTest.spec.js","",""
"","10705","Validate user successfully able to place the order for ADIDAS ORIGINAL","chromium","Sat Aug 16 23:19:48 CEST 2025","passed","Sat Aug 16 23:19:59 CEST 2025","","ClientApp.spec.js","",""
"","11359","Validate user should be successfully able to place the order","chromium","Sat Aug 16 23:19:56 CEST 2025","passed","Sat Aug 16 23:20:07 CEST 2025","","ClientApp.spec.js","",""
"","6411","Frame Validation","firefox","Sat Aug 16 23:21:26 CEST 2025","passed","Sat Aug 16 23:21:32 CEST 2025","","MoreValidation.spec.js","",""
"","5632","Automation of Java/Javascript alert popups","chromium","Sat Aug 16 23:20:07 CEST 2025","passed","Sat Aug 16 23:20:13 CEST 2025","","MoreValidation.spec.js","",""
"","1656","Abort the Network calls","chromium","Sat Aug 16 23:20:19 CEST 2025","passed","Sat Aug 16 23:20:21 CEST 2025","","NetworkNegativeTest.spec.js","",""
"","3710","Security test request intercept","firefox","Sat Aug 16 23:21:38 CEST 2025","passed","Sat Aug 16 23:21:41 CEST 2025","","NetworkNegativeTest.spec.js","",""
"","4840","Validation of Mouse hover","chromium","Sat Aug 16 23:20:07 CEST 2025","passed","Sat Aug 16 23:20:12 CEST 2025","","MoreValidation.spec.js","",""
"","3098","User should be able to login","firefox","Sat Aug 16 23:21:08 CEST 2025","passed","Sat Aug 16 23:21:11 CEST 2025","","Login.spec.js","",""
"","12113","Validate user successfully able to place the order for ADIDAS ORIGINAL","firefox","Sat Aug 16 23:20:43 CEST 2025","passed","Sat Aug 16 23:20:55 CEST 2025","","ClientApp.spec.js","",""
"","4100","Upload download excel validation","chromium","Sat Aug 16 23:20:24 CEST 2025","passed","Sat Aug 16 23:20:28 CEST 2025","","UploadDownloadExcel.spec.js","",""
"","10765","Validate user successfully able to place the order for IPHONE 13 PRO","chromium","Sat Aug 16 23:19:45 CEST 2025","passed","Sat Aug 16 23:19:56 CEST 2025","","ClientApp.spec.js","",""
"","12943","Validate user successfully able to place the order for IPHONE 13 PRO","firefox","Sat Aug 16 23:22:24 CEST 2025","passed","Sat Aug 16 23:22:37 CEST 2025","","ClientApp.spec.js","",""
"","5230","Check whether the element is displayed or not","firefox","Sat Aug 16 23:21:11 CEST 2025","passed","Sat Aug 16 23:21:16 CEST 2025","","MoreValidation.spec.js","",""
"","10490","Validate user should be successfully able to place the order","chromium","Sat Aug 16 23:20:28 CEST 2025","passed","Sat Aug 16 23:20:38 CEST 2025","","WebAPIPart2.spec.js","",""
"","3571","Validate user should be successfully able to place the order","firefox","Sat Aug 16 23:21:44 CEST 2025","passed","Sat Aug 16 23:21:47 CEST 2025","","NetworkTest.spec.js","",""
"","3064","User should be able to login","chromium","Sat Aug 16 23:19:59 CEST 2025","passed","Sat Aug 16 23:20:02 CEST 2025","","Login.spec.js","",""
"","2841","User login and print the product titles","firefox","Sat Aug 16 23:22:14 CEST 2025","passed","Sat Aug 16 23:22:17 CEST 2025","","WebAPIPart2.spec.js","",""
"","2603","User login and print the product titles","chromium","Sat Aug 16 23:20:30 CEST 2025","passed","Sat Aug 16 23:20:32 CEST 2025","","WebAPIPart2.spec.js","",""
